,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
86810,tt11712870,Turn Out the Lights,Turn Out the Lights,2020.0,95.0,Adventure,8.3,10,high,2
99929,tt1467388,Astral City: A Spiritual Journey,Nosso Lar,2010.0,103.0,Fantasy,6.4,3429,middle,10
152479,tt6095808,Hooked,Hooked,2017.0,92.0,Drama,5.1,645,middle,8
50639,tt0167237,Knock on Wood,Knock on Wood,1998.0,94.0,Romance,8.0,14,high,20
92466,tt13051800,Genitori vs Influencer,Genitori vs Influencer,2021.0,94.0,Comedy,5.3,493,middle,5
114458,tt1993421,The Lotus Pond,The Lotus Pond,2010.0,75.0,Thriller,7.8,24,high,24
116980,tt21099366,My Sister Liv,My Sister Liv,2022.0,71.0,Documentary,9.5,14,high,7
114997,tt2023583,Love and Politics,Love and Politics,2011.0,53.0,Documentary,8.8,15,high,7
157914,tt7158904,Blood Myth,Blood Myth,2019.0,81.0,Horror,3.2,354,low,14
5815,tt0025630,The Party's Over,The Party's Over,1934.0,68.0,Comedy,7.3,23,high,5
56200,tt0219939,The Murder of JFK: A Revisionist History,The Murder of JFK: A Revisionist History,1999.0,180.0,Documentary,7.4,38,high,7
25730,tt0067254,The Invincible Sword,Yi fu dang guan,1971.0,84.0,Action,6.4,53,middle,0
120861,tt2262073,Scrooge & Marley,Scrooge & Marley,2012.0,91.0,Family,5.5,190,middle,9
39392,tt0104423,Hit the Dutchman,Hit the Dutchman,1992.0,116.0,Crime,5.4,218,middle,6
62015,tt0295578,Running Out of Time 2,Am zin 2,2001.0,95.0,Mystery,5.8,1527,middle,17
24558,tt0064603,The Love Bug,The Love Bug,1969.0,108.0,Family,6.5,17279,middle,9
131921,tt3064170,"Hook, Line & Sinker",Sur toute la ligne,2014.0,81.0,Crime,7.2,17,high,6
3246,tt0020101,Little Johnny Jones,Little Johnny Jones,1929.0,74.0,Music,6.6,24,middle,15
62415,tt0301171,Shot,Death Shot,1973.0,92.0,Action,5.5,145,middle,0
117391,tt2123170,The Coven,The Coven,2015.0,90.0,Fantasy,2.3,697,low,10
158462,tt7275200,Fishtales 2,Fishtales 2,2017.0,70.0,Animation,5.4,95,middle,3
110465,tt1810798,Last Winter,L'hiver dernier,2011.0,103.0,Drama,5.8,187,middle,8
36252,tt0095565,Made in U.S.A.,Made in U.S.A.,1987.0,82.0,Crime,5.3,517,middle,6
149374,tt5606616,Riverhead,Riverhead,2016.0,89.0,Drama,5.3,141,middle,8
122879,tt2360390,"2 Francs, 40 Pesetas","2 francos, 40 pesetas",2014.0,99.0,Comedy,5.7,469,middle,5
28222,tt0073192,"Nevermore, Forever",Jamais plus toujours,1976.0,78.0,Drama,6.7,51,middle,8
9938,tt0033405,Blood and Sand,Blood and Sand,1941.0,125.0,Sport,6.8,3101,high,22
81144,tt1051906,The Invisible Man,The Invisible Man,2020.0,124.0,Drama,7.1,250084,high,8
104431,tt15745226,Darby and the Dead,Darby and the Dead,2022.0,100.0,Drama,5.6,1534,middle,8
34519,tt0091069,Fortress,Fortress,1985.0,85.0,Thriller,7.0,3471,high,24
47660,tt0139096,La carcasse et le tord-cou,La carcasse et le tord-cou,1948.0,93.81829253746335,Drama,6.1,10,middle,8
